Reaxys Registry Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7224935;,5119487;,4464791;,6271171;,5250677;,5770919;,17091512;,4695646;,4479395;,958526;,23795505;,9073998;,5816625;,7583325;,5985747;,438429;,5426846;,8499353;,9892585;,4889223;,33066657;,8887312;,35755503;,28784208;,1210066;,19119512;,20240697;,37781621;,27419672;,35013583;,28404105;,32946000;,31073993;,22226657;,30547121;,22013639;,34656809;,12994816;
7224956;,5119493;,4464810;,6274425;,5253579;,5770981;,1917099;,4696861;,4480079;,1880106;,23795506;,9076123;,5818631;,7585809;,6081217;,481513;,5431840;,8502064;,9893001;,4889647;,33066658;,8889535;,35755504;,28784210;,128280;,19124426;,20240698;,37798619;,27419674;,28330486;,28404107;,32946001;,31073994;,22599387;,30677203;,22013640;,34666610;,12994885;
7225205;,5119496;,4464849;,6279367;,5270733;,5771529;,393647;,4704571;,4480189;,3572241;,23829867;,9080886;,5818712;,7586899;,6139593;,532833;,5434514;,8502158;,9893999;,4889674;,33066659;,8891135;,35755506;,28784211;,199922;,19125150;,20240699;,37798625;,27419676;,21736781;,28404117;,32946002;,31073995;,26802182;,30685947;,22013642;,34666611;,14259839;
7225296;,5119535;,4464865;,6282629;,5283103;,5771732;,481514;,4705387;,4480633;,4165331;,23834770;,9082036;,5819235;,7589378;,6144440;,750764;,5435110;,8502808;,9905977;,4889898;,33066662;,8891286;,35755507;,28784212;,1073511;,19125151;,20240700;,37798627;,27419677;,32008601;,28404118;,32950387;,31073996;,8843338;,30686986;,22013644;,34685789;,14540359;
7225690;,5119573;,4464891;,6284028;,5283185;,5771898;,1248441;,4719158;,4482291;,10435295;,23834771;,9082988;,5819386;,7589379;,6156805;,990509;,5437605;,8503595;,9907393;,4890470;,33066665;,8892251;,35755508;,28784213;,5582726;,19159275;,20240702;,37798628;,27419679;,33830008;,28419259;,32953112;,31102642;,670133;,30689061;,22013646;,34685795;,15805125;
7225929;,5119586;,4464938;,6284983;,5293800;,5771994;,1249851;,4724002;,4482404;,169682;,23834772;,9087192;,5821088;,7589427;,6189623;,1933639;,5438375;,8504425;,9908530;,4890708;,33071484;,8892565;,35755509;,28790118;,11343178;,19159276;,20278520;,37799300;,27419680;,33830021;,28419260;,32969855;,31102643;,34327900;,30689066;,22014103;,34685796;,16270746;
7226051;,5119607;,4464940;,6285083;,5293801;,5771995;,1857733;,4751399;,4483120;,183389;,23834773;,9089880;,5821891;,7590277;,6360994;,2017532;,5439378;,8504528;,9916686;,4890900;,33071496;,8893176;,35755511;,28790119;,210605;,19176875;,20285451;,37799301;,27419681;,22597970;,28423131;,32969856;,31108297;,22016985;,30699832;,22014104;,34685800;,18312519;
7226123;,5119637;,4465035;,6286716;,5303993;,5772654;,1929954;,4758681;,4484394;,186022;,23834775;,9092166;,5822113;,7592102;,6400584;,2116031;,5439586;,8504631;,9919270;,4890954;,33071500;,8893421;,35755512;,28839529;,1311566;,19176876;,20285452;,37799302;,27419682;,36690868;,28423132;,32969857;,31108299;,31963473;,30701607;,22015475;,34685801;,18817874;
7226334;,5119638;,4465037;,6325812;,5321379;,5772666;,2105556;,4758754;,4485303;,320938;,23834777;,9092962;,5822701;,7592104;,6513092;,2161938;,5440402;,8507732;,9920450;,4891925;,33071501;,8900027;,35755513;,28952301;,2140554;,19176881;,20287138;,37799303;,27419683;,36690876;,28423133;,32969858;,31108303;,21929912;,30733289;,22019904;,34685802;,18837872;
7226381;,5119707;,4465134;,6326921;,5329022;,5772700;,3561519;,4760459;,4485389;,479168;,23834778;,9094004;,5823537;,7593747;,6514473;,2206801;,5443442;,8508721;,9920861;,4892459;,33071502;,8901322;,35755516;,28980105;,4431389;,19176882;,20287148;,37799574;,27419684;,28500851;,28423134;,32969859;,31108304;,1843015;,30733297;,22024544;,34685803;,18837875;
7226529;,5119723;,4465148;,6326999;,5338836;,5772716;,4755104;,4762148;,4486903;,1209974;,23834779;,9094617;,5825649;,7594037;,6612921;,2381943;,5443452;,8508818;,9921642;,4892473;,33071504;,8904128;,35755517;,28980120;,1680969;,19191834;,20287149;,37799575;,27419685;,35013588;,28423135;,32969860;,31112706;,18272656;,30748116;,22024548;,34685804;,18837876;
7226569;,5119737;,4465170;,6332239;,5350234;,5772717;,4761493;,4763755;,4487753;,1287162;,23836312;,9099103;,5827445;,7594251;,6613877;,2488298;,5445998;,8509719;,9922689;,4893278;,33071505;,8909191;,35755518;,28980122;,88274;,19194213;,20294317;,37801079;,27419686;,18908899;,28425348;,32969861;,31112710;,21524760;,30790533;,22028133;,34685805;,18837877;
7226691;,5119738;,4465178;,6333178;,5425071;,5773167;,4803362;,4764324;,4488145;,1996787;,23843410;,9099614;,5827486;,7594487;,6657877;,2542263;,5447200;,8509826;,9923624;,4893407;,33071506;,8912613;,35755520;,29108067;,2208374;,19194215;,20294319;,37801367;,27419687;,37003606;,28425350;,32969862;,31112717;,32008594;,30794737;,22028134;,34690258;,18861291;
7226731;,5119742;,4465210;,6336866;,5427870;,5773518;,4807945;,4775688;,4489334;,2175742;,23844903;,9103800;,5828012;,7595841;,6821346;,2750798;,5448373;,8510822;,9924164;,4893610;,33071510;,8912888;,35755522;,29108068;,2375854;,19194217;,20294346;,37801372;,27419689;,34074588;,28427372;,32969863;,31117056;,20818746;,30795985;,22028135;,34690262;,18905535;
7226766;,5119856;,4465211;,6337895;,5430817;,5773977;,5542339;,4778966;,4490224;,2574872;,23884448;,9109287;,5828848;,7595943;,6848494;,2831158;,5449242;,8512387;,9927472;,4894355;,33071512;,8912889;,35755526;,29157299;,2049898;,19222921;,20307316;,37801634;,27419690;,22460633;,28427373;,32969864;,31120804;,24666251;,30836087;,22028463;,34690263;,18905536;
7227086;,5119873;,4465250;,6339677;,5430866;,5774505;,5758465;,4803361;,4491920;,2618551;,23905426;,9126779;,5830981;,7595953;,6858923;,2937010;,5450328;,8514503;,9927483;,4897055;,33071513;,8913386;,35755527;,29239846;,972229;,19222922;,20320579;,37801640;,27419691;,22460634;,28427382;,32969867;,31120805;,22016984;,30842959;,22034490;,34690264;,19006575;
7227184;,5119996;,4465259;,6341279;,5438766;,5774712;,6404982;,4806986;,4494028;,3057378;,23905428;,9129269;,5831485;,7596064;,6866608;,2962232;,5450953;,8514566;,9929064;,4897314;,33071514;,8914754;,35781221;,29239852;,290169;,19222923;,20320580;,37801641;,27419692;,36565176;,28427385;,32969868;,31123161;,30292275;,30842963;,22034491;,34690265;,19006578;
7227288;,5120108;,4465264;,6350297;,5441052;,5774717;,5813013;,4819578;,4494052;,4806987;,23905430;,9130550;,5831591;,7596748;,7047891;,2974557;,5461166;,8516045;,9931154;,4898456;,33071515;,8915467;,35781225;,29293802;,2502065;,19222924;,20320584;,37805840;,27419693;,36690870;,28434880;,32969869;,31123528;,33810779;,30842964;,22034492;,34690266;,19088261;
7227566;,5120141;,4465315;,6353072;,5476660;,5774718;,5863579;,4835436;,4495584;,8209913;,23905432;,9133059;,5831693;,7596794;,7317032;,3006451;,5463093;,8516715;,9932908;,4898638;,33071516;,8915796;,35816250;,29305129;,4342371;,19222925;,20320586;,37805841;,27419694;,36690877;,28434881;,32969870;,31123952;,29665712;,30842965;,22034493;,34690267;,19176490;
7227617;,5120162;,4465337;,6359206;,5485313;,5774721;,5961489;,4838380;,4497125;,8842488;,23917377;,9143498;,5831785;,7597110;,7419340;,3212075;,5467700;,8517211;,9940724;,4899396;,33071522;,8915806;,35816251;,29305130;,1528099;,19222926;,20320879;,37805842;,27419696;,28231989;,28434882;,32969871;,31123953;,20523841;,30842966;,22034495;,34690268;,19211302;
7227918;,5120278;,4465409;,6359680;,5486030;,5774781;,5964607;,4838620;,4498155;,162433;,23917378;,9148381;,5831789;,7597311;,7450654;,3225614;,5472939;,8518491;,9945265;,4899415;,33071523;,8915808;,35816252;,29305131;,2095254;,19222927;,20334727;,37807005;,27419698;,26623755;,28434883;,32970282;,31131557;,1134284;,30922595;,22034496;,34701299;,19211303;
7228090;,5120321;,4465417;,6366834;,5517900;,5774960;,5971006;,4845274;,4499029;,172626;,23917379;,9149254;,5831790;,7597713;,7488231;,3301648;,5477007;,8519072;,9946305;,4899603;,33071524;,8917166;,35816253;,29326105;,153869;,19222928;,20334728;,37807006;,27419699;,30983660;,28451989;,32970283;,31143266;,28231985;,31010780;,22034497;,34705027;,19211305;
7228416;,5120355;,4465444;,6368796;,5541294;,5774989;,5991069;,4866063;,4499042;,366328;,23917380;,9159887;,5831991;,7597969;,7547730;,3545037;,5482896;,8519180;,9946655;,4899762;,33071912;,8917772;,35816254;,29326106;,126519;,19303782;,20344321;,37807007;,27419700;,23635900;,28451993;,32973815;,31143578;,19155925;,31010781;,22034498;,34705030;,19211308;
7228499;,5120420;,4465466;,6371151;,5542020;,5775450;,6205394;,4866126;,4499072;,1426787;,23917382;,9160635;,5831994;,7598134;,7547899;,3555554;,5482897;,8520718;,9947517;,4900473;,33071913;,8917816;,35816255;,29339620;,191188;,19303783;,20348049;,37807010;,27419701;,562064;,28451994;,32973817;,31143580;,21965376;,31014679;,22034499;,34708345;,19357636;
7228500;,5120439;,4465506;,6372919;,5549069;,5775508;,6234179;,4871444;,4499106;,1955237;,23917392;,9161466;,5832019;,7598326;,7622203;,4142930;,5502744;,8520723;,9947952;,4900916;,33071914;,8919346;,35816256;,29402526;,2208372;,19305304;,20348050;,37902131;,27419702;,9352200;,28451995;,32973820;,31143581;,153245;,31014680;,22034500;,34708346;,19464121;
7228651;,5120460;,4465511;,6376320;,5561036;,5775627;,6343712;,4874724;,4499411;,1989159;,23917393;,9162584;,5832313;,7598564;,7722466;,4143649;,5523757;,8520955;,9949994;,4901016;,33071915;,8920355;,35816257;,29403793;,366189;,19305305;,20348052;,37903084;,27419703;,6437342;,28451996;,32973821;,31143582;,26752445;,31014681;,22034501;,34708347;,19503468;
7228654;,5120475;,4465691;,6377603;,5583508;,5775628;,6043275;,4874740;,4501070;,2118011;,23917394;,9162848;,5832627;,7599706;,7759976;,4626671;,5528396;,8521106;,9952448;,4901940;,33112262;,8920378;,35816258;,29403794;,362302;,19305306;,20348053;,37903086;,27419704;,23947653;,28451997;,32994858;,31159280;,18917329;,31014682;,22034502;,34712878;,19621812;
7228746;,5120509;,4465812;,6380490;,5606274;,5775639;,6043318;,4887022;,4501715;,2627463;,23917395;,9169021;,5833245;,7599707;,7831070;,4632736;,5529045;,8521593;,9952624;,4901980;,33112263;,8922693;,35816259;,29403796;,5863051;,19305308;,20360177;,37903088;,27419705;,35944110;,28451998;,32994859;,31159283;,795679;,31014683;,22034503;,34712879;,19621817;
7228934;,5120549;,4465868;,6381174;,5610945;,5775640;,6043343;,4887869;,4503556;,2726626;,23917396;,9183566;,5833289;,7599708;,7876711;,4849259;,5535876;,8521844;,9955467;,4902025;,33112265;,8923362;,35816260;,29415606;,325741;,19308686;,20360180;,37958132;,27419706;,35944113;,28451999;,32994860;,31162515;,31382773;,31014684;,22039391;,34712880;,19663148;
7229271;,5120563;,4465896;,6382153;,5616395;,5775905;,6043489;,4898915;,4505037;,2805437;,23917397;,9195488;,5834769;,7600239;,7942938;,4863711;,5563657;,8522086;,9957654;,4910212;,33112266;,8923484;,35816261;,29415612;,2921162;,19308687;,20360182;,37958133;,27419707;,36329025;,28452000;,32994862;,31162519;,22219846;,31014685;,22068754;,34712881;,19663149;
7229495;,5120580;,4465908;,6384716;,5623290;,5776286;,6043525;,4905796;,4505158;,2806017;,23917398;,9223893;,5836019;,7601974;,7995773;,5008644;,5564948;,8522126;,9958205;,4912000;,33112267;,8923754;,35816262;,29415616;,1871079;,19308688;,20360183;,37958293;,27419708;,36329026;,28452362;,32996763;,31164261;,20287143;,31014686;,22068755;,34712882;,19676415;
7229595;,5120585;,4466032;,6384783;,5626472;,5776544;,6043603;,4910238;,4505435;,3097739;,23917399;,9227251;,5836193;,7602055;,8206248;,5100273;,5566544;,8522369;,9958855;,4964793;,33112268;,8924368;,35818580;,29417557;,187879;,19308689;,20370204;,37958295;,27419709;,36329027;,28453426;,33002511;,31167550;,24045362;,31014687;,22068756;,34712883;,19954252;
7229604;,5120591;,4466057;,6388577;,5626547;,5777398;,6043653;,4915257;,4506191;,3134860;,23917400;,9227310;,5836755;,7602057;,8214348;,5273443;,5567751;,8522811;,9958888;,4974691;,33112269;,8925216;,35834491;,29417558;,2052993;,19308690;,20372981;,37958297;,27419710;,26928059;,28453428;,33047068;,31169219;,27056343;,31014688;,22068757;,34712884;,19954253;
7229658;,5120697;,4466151;,6389457;,5633021;,5777446;,6043678;,4989159;,4506585;,3237869;,23917401;,9227450;,5837466;,7602786;,8238125;,5512699;,5568051;,8523171;,9958984;,4976138;,33113244;,8925220;,35834494;,29436417;,1682199;,19308691;,20384194;,37959619;,27419711;,30417060;,28453431;,33052105;,31169220;,31382776;,31014689;,22069858;,34712885;,19954254;
7229685;,5120769;,4466187;,6389909;,5635877;,5777447;,6043691;,4993978;,4508412;,3595312;,23917404;,9227615;,5837605;,7602787;,8319387;,5744385;,5570032;,8524431;,9959336;,4987838;,33128940;,8925685;,35834495;,29436418;,2330722;,19338384;,20410434;,37959622;,27419712;,30292273;,28458596;,33052838;,31169221;,2268179;,31014690;,22070002;,34712886;,19954255;
7229781;,5120774;,4466213;,6391530;,5646703;,5777661;,6043693;,5011558;,4508770;,3620116;,23917405;,9229921;,5837676;,7604056;,8373167;,5910217;,5571019;,8524531;,9959833;,4990035;,33147150;,8926023;,35834496;,29436421;,1235926;,19350976;,20410435;,37959623;,27419713;,30292288;,28458598;,33052840;,31169222;,34327904;,31014691;,22070005;,34712887;,19954256;
7230011;,5120829;,4466276;,6397610;,5667797;,5778068;,6043759;,5026461;,4509077;,5905905;,23917406;,9233244;,5837977;,7604146;,8442295;,5947178;,5578399;,8525568;,9960149;,4993201;,33159911;,8926082;,35834497;,29436422;,1871046;,19378559;,20410436;,37959624;,27419714;,30699830;,28458599;,33052841;,31169225;,31315041;,31046652;,22070006;,34712888;,19954257;
7230036;,5120841;,4466307;,6404935;,5669267;,5778593;,6043845;,5029535;,4509293;,6200504;,23917408;,9241841;,5838223;,7604381;,8479730;,5964231;,5588131;,8526009;,9960948;,4993979;,33159914;,8926445;,35834498;,29436429;,2522887;,19378562;,20424207;,37959625;,27419715;,36329000;,28458602;,33052842;,31169226;,25076902;,31046653;,22070008;,34717973;,19983594;
7230055;,5120947;,4466403;,6408314;,5677582;,5778747;,6043846;,5050762;,4509684;,8207622;,23917409;,9242861;,5838642;,7604508;,8494413;,5971898;,5593344;,8527038;,9961559;,4993999;,33159915;,8926458;,35834499;,29436430;,957605;,19388914;,20427381;,37959626;,27419716;,4703611;,28458604;,33055164;,31169227;,20287142;,31046654;,22070358;,34717974;,19983596;
7230238;,5120951;,4466450;,6408380;,5733982;,5778825;,6043888;,5061858;,4509951;,8211188;,23917410;,9243460;,5839841;,7605775;,8501852;,6142513;,5597813;,8528942;,9961777;,4998782;,33159916;,8926906;,35834500;,29436436;,7721854;,19388916;,20427383;,38058145;,27419717;,23635899;,28458606;,33055977;,31169228;,85179;,31046655;,22070359;,34717975;,19983599;
7230252;,5120987;,4466453;,6411316;,5734468;,5779281;,6044028;,5075042;,4509980;,8321684;,23917413;,9271988;,5839939;,7605792;,8573202;,6443644;,5600176;,8529082;,9962785;,5000382;,33159917;,8927252;,35834501;,29448044;,604709;,19388917;,20427384;,38058149;,27419718;,36690885;,28458608;,33071184;,31171579;,478104;,31046658;,22070361;,34719578;,19983608;
7230392;,5121003;,4466688;,6413619;,5737601;,5781259;,6044035;,5082158;,4510030;,10124104;,23917414;,9273035;,5840340;,7606754;,8635336;,6700199;,5601407;,8529600;,9963041;,5001150;,33159918;,8927490;,35860890;,29448045;,9349809;,19388918;,20439819;,38058152;,27419719;,26562285;,28458609;,33091052;,31171580;,31382774;,31046659;,22073290;,34719579;,19983609;
7230415;,5121023;,4466708;,6414521;,5737815;,5781855;,6044041;,5083569;,4511512;,20423729;,23917415;,9283029;,5840429;,7607141;,8650280;,7239751;,5606643;,8530160;,9964518;,5004021;,33159919;,8928213;,35867138;,29448046;,2052959;,19388920;,20439820;,38064552;,27419720;,35582227;,28458610;,33091529;,31171582;,22515138;,31087098;,22073291;,34720846;,19983610;
7230434;,5121052;,4466759;,6415972;,5744337;,5781988;,6044044;,5086322;,4512860;,13230;,23917416;,9294812;,5840903;,7607172;,8738502;,7243972;,5610041;,8531011;,9964828;,5006330;,33159921;,8928520;,35867139;,29448047;,217169;,19388921;,20440318;,38064553;,27419721;,31820088;,28458611;,33091531;,31172256;,26562286;,31088687;,22073292;,34727314;,19983611;
7230917;,5121161;,4466800;,6416349;,5748765;,5782003;,6044046;,5094990;,4513276;,264259;,23917417;,9305075;,5840964;,7607699;,8745966;,7349898;,5614092;,8533347;,9964842;,5008282;,33159922;,8928680;,35867140;,29448048;,408528;,19388922;,20440319;,38064554;,27419722;,31820098;,28460137;,33091532;,31183304;,646473;,31102000;,22073293;,34727317;,19983612;
7230979;,5121192;,4466801;,6417017;,5766692;,5782782;,6044228;,5096659;,4513952;,532089;,23917418;,9326911;,5842077;,7607859;,8776302;,7482254;,5616472;,8533457;,9965353;,5010237;,33159923;,8928724;,35867141;,29448050;,2090418;,19388923;,20440320;,38064555;,27419723;,32941087;,28460145;,33091534;,31183317;,32761890;,31112711;,22073295;,34727323;,19983614;
7230989;,5121198;,4466835;,6417982;,5791543;,5783330;,6044296;,7146977;,4516731;,958978;,23917419;,9339899;,5842393;,7607876;,8852849;,7755642;,5618068;,8546103;,9966134;,5010625;,33159924;,8928761;,35870273;,29448051;,753057;,19388924;,20440321;,38065575;,27419724;,30687847;,28460219;,33091535;,31189970;,27029745;,31112713;,22079246;,34727324;,19983616;
7231143;,5121202;,4466863;,6420245;,5806854;,5783331;,6044333;,5101024;,4517068;,1841869;,23917420;,9342218;,5842526;,7607908;,8900212;,7999222;,5619161;,8546139;,9966259;,5011397;,33159925;,8929308;,35880145;,29448053;,1019052;,19389286;,20440323;,38065576;,27419725;,23996066;,28461189;,33122751;,31189971;,18247061;,31112715;,22094125;,34727325;,19984571;
7231148;,5121208;,4466901;,6422960;,5812386;,5784238;,6044345;,5104332;,4517540;,2217022;,23917421;,9342244;,5842668;,7608263;,8925286;,9203990;,5628216;,8547310;,9967055;,5013258;,33159926;,8929362;,35880146;,29448054;,142670;,19389287;,20440324;,38065577;,27419726;,31590770;,28461190;,33122752;,31189972;,474955;,31123950;,22094133;,34727918;,19984597;
7231157;,5121281;,4466952;,6424098;,5822847;,5784407;,6044361;,5131112;,4517965;,2300447;,23917423;,9343474;,5843423;,7608303;,9129268;,9779786;,5628338;,8550072;,9967359;,5015628;,33159948;,8929748;,35886932;,29448055;,640531;,19389288;,20440325;,38065578;,27419727;,5628079;,28461397;,33129319;,31189973;,26562282;,31126355;,22094134;,34727919;,19989090;
7231158;,5121287;,4466962;,6428300;,5825285;,5784597;,6044390;,5134191;,4518029;,2558609;,23917424;,9347019;,5844311;,7608552;,9148702;,10109276;,5628384;,8553541;,9967990;,5016422;,33159953;,8930793;,35887849;,29448056;,2639890;,19389289;,20442936;,38065581;,27419728;,5637630;,28461398;,33129329;,31196619;,30101057;,31143264;,22094135;,1445814;,19989091;
7231160;,5121322;,4466986;,6434999;,5864547;,5784862;,6044448;,5139726;,4520176;,2780034;,23917426;,9352039;,5844359;,7608790;,9179829;,17485;,5629012;,8555840;,9968070;,5016455;,33175018;,8935104;,35887852;,29448057;,4624946;,19389290;,20442937;,38065583;,27419730;,28352548;,28461399;,33130830;,31196625;,30101058;,31147961;,22094136;,497341;,20097278;
7231208;,5121329;,4467062;,6435926;,5865568;,5785083;,6044516;,5140714;,4520515;,5939352;,23917427;,9353675;,5844459;,7608959;,9189464;,48692;,5630076;,8556071;,9968291;,5019470;,33184683;,8935142;,35887855;,29448058;,6742158;,19389291;,20443136;,38065586;,27419731;,35013584;,28461402;,33147684;,31196628;,82458;,31148112;,22094137;,97825;,20159132;
7231392;,5121401;,4467191;,6436406;,5870002;,5785194;,6044538;,5181487;,4520633;,6265866;,23917428;,9377692;,5844723;,7609589;,9445327;,142205;,5637752;,8556112;,9968428;,5020853;,33184687;,8937959;,35887857;,29448059;,2555946;,19389911;,20445123;,38065592;,27419732;,22597968;,28461403;,33147685;,31196629;,16342563;,31148130;,22094140;,4229251;,20199287;
7231554;,5121455;,4467279;,6439402;,5881310;,5785959;,6044706;,5184165;,4520858;,8062915;,23917429;,9396263;,5845125;,7609693;,9669844;,159715;,5638207;,8556605;,9968807;,5022840;,33208357;,8938098;,35887860;,29448060;,1207946;,19389912;,20445127;,38065602;,27419733;,36329005;,28461404;,33147686;,31213839;,472569;,31167551;,22094153;,567897;,20199292;
7231573;,5121468;,4467280;,6442003;,5891960;,5786461;,6044764;,5215820;,4521237;,8110886;,23917430;,9405858;,5845667;,7609778;,9733700;,202935;,5640069;,8556923;,9969260;,5024791;,33216211;,8939051;,35887862;,29448061;,158299;,19399006;,20445129;,38094862;,27419734;,38065574;,28461405;,33147687;,31213848;,15629068;,31167552;,22094387;,3575587;,20200091;
7231721;,5121485;,4467336;,6442407;,5932473;,5786465;,6044779;,5224886;,4521774;,8430237;,23917431;,9415932;,5845894;,7610727;,9886748;,302939;,5641399;,8557633;,9969306;,5025211;,33225451;,8943180;,35887865;,29448062;,4048168;,19421787;,20445130;,38129302;,27419735;,36329007;,28461406;,33147688;,31239313;,141548;,31256034;,22094388;,3657947;,20200092;
7231826;,5121492;,4467544;,6443361;,5939340;,5786466;,6044786;,5225962;,4521812;,9360696;,23917432;,9440739;,5846017;,7610994;,9954882;,350288;,5642180;,8557661;,9969508;,5027109;,33225452;,8944373;,35887867;,29448063;,1994019;,19421788;,20445131;,38129303;,27419736;,36329023;,28461407;,33147693;,31239314;,26562281;,31268692;,22094389;,3580048;,20200095;
7232072;,5121535;,4467675;,6445925;,5956638;,5786467;,6044851;,5233714;,4522301;,15489007;,23917433;,9444229;,5846069;,7614112;,10011624;,396062;,5644734;,8559210;,9969858;,5027602;,33227720;,8944602;,35887869;,29448064;,2227927;,19421789;,20445132;,38129304;,27419737;,21420029;,28461408;,33147725;,31239315;,27408500;,31276690;,22094390;,231523;,20200098;
